rollout_id,source_file,source_t,horizon,discounted_return,undiscounted_return,mean_reward,max_reward,min_reward,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
81,data/latent/train/1781996028648_heuristic_00048.npz,784,300,30.860157012939453,104.2340087890625,0.34744665026664734,1.0634839534759521,-0.09508097171783447,0.06530012935400009,0.9999979734420776,4.202127570351877e-07,0.06666667014360428,1.0,1.0
82,data/latent/train/1781972431993_00004.npz,687,300,63.879356384277344,140.06536865234375,0.4668845534324646,2.5354878902435303,-0.11050021648406982,0.07032695412635803,0.9999976754188538,3.33786012163273e-08,0.05666666850447655,1.0,1.0
83,data/latent/train/1781996049295_forward_00000.npz,153,300,36.580692291259766,105.5909652709961,0.3519698977470398,1.0571584701538086,-0.09772050380706787,0.055819522589445114,0.9999998807907104,1.5497207073167374e-08,0.15666666626930237,1.0,1.0
84,data/latent/train/1781996255678_random_00018.npz,567,300,88.52682495117188,218.90597534179688,0.7296865582466125,2.3960964679718018,-0.09903824329376221,-0.01203168835490942,0.9999995827674866,5.7220457705398076e-08,0.10000000149011612,1.0,1.0
85,data/latent/train/1781975804219_heuristic_00028.npz,786,300,18.431520462036133,83.49095153808594,0.2783031761646271,1.116173267364502,-0.09885108470916748,0.08065619319677353,0.9999998211860657,1.887480394202612e-08,0.09333333373069763,1.0,1.0
86,data/latent/train/1781975750371_heuristic_00022.npz,829,300,8.414299011230469,65.37823486328125,0.2179274559020996,1.4951207637786865,-0.11777997016906738,0.3414640426635742,0.9998105764389038,6.109475947368992e-08,0.18000000715255737,1.0,1.0
87,data/latent/train/1781996072334_forward_00011.npz,8,300,51.249603271484375,124.6583480834961,0.4155277907848358,1.3195292949676514,-0.08535945415496826,0.06878422945737839,0.9956685304641724,1.2599429055626388e-06,0.06333333253860474,0.9933333396911621,1.0
88,data/latent/train/1781975694262_heuristic_00016.npz,890,300,9.787504196166992,35.77229690551758,0.11924099177122116,0.9608281254768372,-0.1199873685836792,0.3151552975177765,0.9999952912330627,3.4643212529772427e-06,0.14000000059604645,1.0,1.0
89,data/latent/train/1781996238438_random_00016.npz,31,300,31.952190399169922,87.54606628417969,0.291820228099823,0.8227182626724243,-0.09108996391296387,0.08251145482063293,0.9999998807907104,4.0729840833364506e-08,0.03333333507180214,1.0,1.0
90,data/latent/train/1781975629865_heuristic_00009.npz,485,300,46.39320755004883,110.53060913085938,0.3684353530406952,1.1580932140350342,-0.10923552513122559,0.07521267980337143,1.0,2.314646962986444e-08,0.0533333346247673,1.0,1.0
91,data/latent/train/1781995790154_heuristic_00022.npz,54,300,69.83454895019531,135.87893676757812,0.4529297947883606,1.689145565032959,-0.0972510576248169,0.11831848323345184,0.9999998807907104,4.3412050843016914e-08,0.04333333298563957,1.0,1.0
92,data/latent/train/1781996078705_forward_00014.npz,211,300,36.21674728393555,98.27190399169922,0.3275730013847351,0.9453213810920715,-0.08683335781097412,0.06100353226065636,1.0,2.4835268064293814e-08,0.08666666597127914,1.0,1.0
93,data/latent/train/1781996179284_random_00009.npz,241,300,27.21371078491211,94.23806762695312,0.3141268789768219,0.985223114490509,-0.09405660629272461,0.0863175317645073,0.9999998807907104,5.404154634902625e-08,0.046666666865348816,1.0,1.0
94,data/latent/train/1781996221488_random_00014.npz,909,300,-5.724785327911377,-24.88791275024414,-0.08295969665050507,0.18254506587982178,-0.11175394058227539,-0.0837010070681572,0.9999218583106995,7.794300813657173e-07,0.10333333164453506,1.0,1.0
95,data/latent/train/1781996153432_random_00006.npz,45,300,31.567529678344727,94.97581481933594,0.31658604741096497,0.9880807995796204,-0.09171664714813232,0.07276710122823715,0.9999998211860657,4.986921808836087e-08,0.023333333432674408,1.0,1.0
96,data/latent/train/1781996088237_forward_00018.npz,197,300,45.991878509521484,106.97058868408203,0.35656866431236267,1.316300630569458,-0.10220348834991455,0.087021104991436,1.0,3.546476534665999e-08,0.029999999329447746,1.0,1.0
97,data/latent/train/1781996083635_forward_00016.npz,198,300,33.70581817626953,96.5761947631836,0.3219206631183624,0.8299474716186523,-0.07642483711242676,0.06965311616659164,1.0,2.0066897477022394e-08,0.09333333373069763,1.0,1.0
98,data/latent/train/1781975731978_heuristic_00020.npz,548,300,1.708944320678711,38.16170120239258,0.12720566987991333,0.48805713653564453,-0.1186751127243042,0.018504690378904343,0.999961256980896,1.5695889032940613e-08,0.20000000298023224,1.0,1.0
99,data/latent/train/1781996195874_random_00011.npz,490,300,51.14430618286133,141.3063201904297,0.47102102637290955,2.051051616668701,-0.10103976726531982,-0.010068310424685478,0.999972403049469,7.788339928538335e-08,0.06333333253860474,1.0,1.0
100,data/latent/train/1781996187436_random_00010.npz,532,300,51.18826675415039,91.22755432128906,0.3040918707847595,2.5482828617095947,-0.10825061798095703,0.23311813175678253,0.9979850053787231,2.6370287741883658e-05,0.036666665226221085,1.0,1.0
101,data/latent/train/1781975740977_heuristic_00021.npz,685,300,31.82810401916504,87.54463958740234,0.2918154001235962,0.9221346378326416,-0.07783222198486328,0.10222377628087997,0.9999998807907104,2.7517478073946222e-08,0.07333333045244217,1.0,1.0
102,data/latent/train/1781972422614_00003.npz,93,300,26.54607391357422,73.62641906738281,0.2454213947057724,0.7387598752975464,-0.08081459999084473,0.11357388645410538,0.9999998807907104,3.119309610610799e-08,0.05000000074505806,1.0,1.0
