seq_id,source_file,source_t,reward_sum_undiscounted,reward_sum_discounted,reward_mean,reward_max,lambda_t0,lambda_mean_all_steps,reward_component_t0,value_component_t0,value_t0,terminal_value,value_mean,value_max,value_min,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
151,data/latent/train/1781975657159_heuristic_00012.npz,990,7.370081901550293,6.875492572784424,0.4913387894630432,0.5440982580184937,64.42155456542969,65.740478515625,4.9586896896362305,59.462867736816406,63.54153823852539,67.05573272705078,65.62015533447266,67.1825180053711,63.30349349975586,0.9999998807907104,0.9999557733535767,5.9604645663569045e-09,1.0,1.0,1.0
152,data/latent/train/1781995651476_heuristic_00007.npz,294,10.767930030822754,9.950267791748047,0.7178620100021362,0.8786752223968506,74.9255599975586,76.14256286621094,6.825018405914307,68.10055541992188,78.07616424560547,75.9307632446289,75.89482116699219,78.07616424560547,74.30359649658203,0.04690518230199814,0.9999971985816956,0.0,0.3333333432674408,1.0,1.0
153,data/latent/train/1781995865173_heuristic_00030.npz,60,15.75678539276123,14.64748477935791,1.0504523515701294,1.1394617557525635,102.751220703125,102.72364807128906,10.374031066894531,92.37718963623047,101.6089096069336,101.4802474975586,103.72360229492188,106.55870819091797,99.60393524169922,-0.42579740285873413,0.9998999238014221,4.5696893380409165e-08,0.9333333373069763,1.0,1.0
154,data/latent/train/1781995845712_heuristic_00028.npz,581,-1.2917338609695435,-1.2110685110092163,-0.08611559122800827,-0.05318141356110573,56.10942459106445,60.22971725463867,-0.893818199634552,57.003238677978516,60.01297378540039,65.44434356689453,62.16905212402344,65.44434356689453,59.05002975463867,0.12196401506662369,0.9999839663505554,1.9868215961338365e-09,0.2666666805744171,1.0,1.0
155,data/latent/train/1781995688182_heuristic_00011.npz,245,-1.5085972547531128,-1.4147261381149292,-0.10057315230369568,-0.06372618675231934,54.663856506347656,60.12782669067383,-1.0478103160858154,55.71166229248047,53.56343460083008,66.23844909667969,59.265357971191406,66.23844909667969,52.47735595703125,-0.41562506556510925,0.9999587535858154,1.7881394143159923e-08,0.5333333611488342,1.0,1.0
156,data/latent/train/1781975684660_heuristic_00015.npz,377,2.631439447402954,2.3980472087860107,0.1754292994737625,0.27540624141693115,57.803226470947266,60.99327087402344,1.5195802450180054,56.283634185791016,57.28853225708008,63.88303756713867,61.771175384521484,63.89091873168945,57.28853225708008,0.9965403079986572,0.9999882578849792,0.0,1.0,1.0,1.0
157,data/latent/train/1781975574208_heuristic_00003.npz,385,-1.5924040079116821,-1.4894733428955078,-0.10616026818752289,-0.08448910713195801,48.05937194824219,53.34514617919922,-1.0915932655334473,49.15095901489258,44.742671966552734,58.78693771362305,52.182369232177734,58.78693771362305,43.81709671020508,0.01257779635488987,0.9993105530738831,7.450580596923828e-07,0.7333333492279053,1.0,1.0
158,data/latent/train/1781995827249_heuristic_00026.npz,926,-1.617053747177124,-1.5121188163757324,-0.1078035831451416,-0.09963738918304443,44.96426010131836,49.177608489990234,-1.1058170795440674,46.070091247558594,41.19169998168945,54.74104690551758,48.42424774169922,54.74104690551758,41.19169998168945,0.07425956428050995,0.9964125156402588,3.68734217772726e-05,0.9333333373069763,1.0,1.0
159,data/latent/train/1781975666230_heuristic_00013.npz,765,-1.4426579475402832,-1.3416919708251953,-0.09617719799280167,-0.07657933235168457,46.620845794677734,50.52717208862305,-0.9533632397651672,47.57421112060547,44.22726821899414,55.13275146484375,51.4166259765625,56.99567794799805,44.22726821899414,0.02647053450345993,0.9999879002571106,0.0,0.7333333492279053,1.0,1.0
160,data/latent/train/1781995855626_heuristic_00029.npz,15,-0.49808764457702637,-0.483985960483551,-0.03320584446191788,0.14047455787658691,60.89461135864258,65.8514633178711,-0.4115052819252014,61.306114196777344,67.10621643066406,71.9877700805664,65.85755920410156,71.9877700805664,62.895450592041016,0.20126239955425262,0.9996260404586792,2.781550101360608e-08,0.5333333611488342,1.0,1.0
