steer,gas,brake
-1.0,0.9999926,5.9604645e-08
0.999997,0.9999966,0.0
-0.999998,0.9999983,0.0
-0.99999994,0.99999684,0.0
-0.9999998,0.9999975,0.0
1.0,0.9540342,1.9043684e-05
-0.99999994,0.99991184,1.8775463e-06
-1.0,0.9999997,0.0
0.9979548,0.99999714,0.0
-1.0,0.9999999,0.0
-0.9879946,0.99999887,0.0
-0.9999815,0.9999812,5.9604645e-08
-0.99999994,0.9999993,0.0
0.5074989,0.99998915,0.0
0.99999887,0.9983255,4.3809414e-06
-1.0,0.9999844,2.503395e-06
-0.9999998,1.0,0.0
0.9999985,0.9987785,2.6524067e-06
0.9653057,0.9999726,2.9802322e-08
0.99998164,0.99993163,2.9802322e-08
